caller_surface,top_menu,page_name,page_route,control_type,action_name,method,normalized_path,query_fields,path_fields,body_fields,header_fields,parameter_source,requested_start,requested_end,accepted_start,accepted_end,timezone,time_fields_and_units,page_size_fields,request_payload,http_status,business_status,response_type,response_keys,record_count,non_empty,auth_role,side_effect,before_after_change,original_surface,original_module,original_name,original_source_file,classification,currently_used,evidence,note
admin,Finance Management,Bet Management,/payment/betting-slip/list,date_range_filter,registered Query/Search [7d],POST,/admin/record/bet,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (56 bytes),200,True,object,a | d | fd | s | t,20,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,游戏记录-wesley,后台/财务管理/注单管理/游戏记录-wesley.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Finance Management,Member Wallet Transactions,/payment/transaction-orders,date_range_filter,registered Query/Search [7d],POST,/admin/finance/transaction/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (56 bytes),200,True,object,d | s | t,20,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,账变列表- wesley,后台/财务管理/会员钱包账变/账变列表- wesley.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Finance Management,Recharge Card Order,/payment/recharge-card-orders/list,date_range_filter,registered Query/Search [7d],POST,/admin/finance/lazada/order/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (66 bytes),200,True,object,all | list | page | sub | total,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,lazada-订单列表-owen,后台/财务管理/lazada订单/lazada-订单列表-owen.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Finance Management,Recharge Card Order,/payment/recharge-card-orders/list,date_range_filter,registered Query/Search [30d],POST,/admin/finance/lazada/order/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-04,2026-09-03,2026-08-04 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (66 bytes),200,True,object,all | list | page | sub | total,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,lazada-订单列表-owen,后台/财务管理/lazada订单/lazada-订单列表-owen.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Finance Management,Recharge Card Order,/payment/recharge-card-orders/list,date_range_filter,registered Query/Search [90d],POST,/admin/finance/lazada/order/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-06-05,2026-09-03,2026-06-05 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (66 bytes),200,True,object,all | list | page | sub | total,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,lazada-订单列表-owen,后台/财务管理/lazada订单/lazada-订单列表-owen.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Finance Management,Recharge Card Order,/payment/recharge-card-orders/list,date_range_filter,registered Query/Search [365d],POST,/admin/finance/lazada/order/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2025-09-03,2026-09-03,2025-09-03 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (66 bytes),200,True,object,all | list | page | sub | total,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,lazada-订单列表-owen,后台/财务管理/lazada订单/lazada-订单列表-owen.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Finance Management,Recharge Card Order,/payment/recharge-card-orders/list,date_range_filter,registered Query/Search [page_max_observed],POST,/admin/finance/lazada/order/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2020-01-01,2026-09-03,2020-01-01 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (66 bytes),200,True,object,all | list | page | sub | total,9,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,lazada-订单列表-owen,后台/财务管理/lazada订单/lazada-订单列表-owen.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Operation Management,Daily Report,/operations/daily-reports,date_range_filter,registered Query/Search [7d],GET,/admin/reports/channel,end_time | page | page_size | start_time,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""end_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""start_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1787760000000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,report,渠道日报表-sandy,后台/报表/渠道报表/渠道日报表-sandy.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Operation Management,Daily Report,/operations/daily-reports,date_range_filter,registered Query/Search [30d],GET,/admin/reports/channel,end_time | page | page_size | start_time,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-04,2026-09-03,2026-08-04 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""end_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""start_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1785772800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,report,渠道日报表-sandy,后台/报表/渠道报表/渠道日报表-sandy.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Operation Management,Daily Report,/operations/daily-reports,date_range_filter,registered Query/Search [90d],GET,/admin/reports/channel,end_time | page | page_size | start_time,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-06-05,2026-09-03,2026-06-05 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""end_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""start_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1780588800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,False,string,,,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,report,渠道日报表-sandy,后台/报表/渠道报表/渠道日报表-sandy.bru,ACTIVE_FAILED,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Operation Management,Promotion Spend Audit,/operations/activity-expenditure-audit,date_range_filter,registered Query/Search [7d],GET,/admin/bonus/review/list,created_end_at | created_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""created_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199000""}, ""created_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1787760000000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,other,待审订单列表 - felix.bru,后台/礼金/待审订单列表 - felix.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Operation Management,Promotion Spend Audit,/operations/activity-expenditure-audit,date_range_filter,registered Query/Search [30d],GET,/admin/bonus/review/list,created_end_at | created_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-04,2026-09-03,2026-08-04 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""created_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199000""}, ""created_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1785772800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,other,待审订单列表 - felix.bru,后台/礼金/待审订单列表 - felix.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Operation Management,Promotion Spend Audit,/operations/activity-expenditure-audit,date_range_filter,registered Query/Search [90d],GET,/admin/bonus/review/list,created_end_at | created_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-06-05,2026-09-03,2026-06-05 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""created_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199000""}, ""created_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1780588800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | t,1,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,other,待审订单列表 - felix.bru,后台/礼金/待审订单列表 - felix.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Risk Management,Deposit/Withdrawal Approval,/risk-control/dw-audit,date_range_filter,registered Query/Search [7d],POST,/admin/finance/withdraw/risk/audit/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (76 bytes),200,True,object,d | s | summary | t,14,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,,,,,UNDOCUMENTED_ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Risk Management,Fund Transfer Record,/risk-control/up-down-score,date_range_filter,registered Query/Search [7d],POST,/admin/finance/adjust/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (65 bytes),200,True,object,d | s | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,系统调整,代理管理后台/财务管理/财务报表/系统调整.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Risk Management,Fund Transfer Record,/risk-control/up-down-score,date_range_filter,registered Query/Search [30d],POST,/admin/finance/adjust/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-04,2026-09-03,2026-08-04 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (65 bytes),200,True,object,d | s | t,2,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,系统调整,代理管理后台/财务管理/财务报表/系统调整.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
