surface,menu,page,page_route,control_type,action,method,origin,normalized_path,query_fields,body_fields,parameter_sources,http_status,business_status,response_shape,auth_role,actual_side_effect,before_after_change,document_category,document_name,document_source,classification,currently_used,evidence,exception_blocked_scope,request_count
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/fav/list,page|page_size,,header:t<-authenticated-session;query:page|page_size<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/game,游戏收藏列表-light,前台/游戏/游戏收藏列表-light.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1224,,1
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/fb/list,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,三方登录列表,前台/三方登录/三方登录列表.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1219,,1
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/index,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/game,首页缓存,前台/游戏/首页缓存.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1207,,1
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/materials/list,material_type_code|platform_code,,header:t<-authenticated-session;query:material_type_code|platform_code<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,素材列表,前台/素材/素材列表.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1208|1209|1210,,3
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/message/has_unread,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,是否有未读信息-todo,前台/站内信/是否有未读信息-todo.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1195|1203,,2
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/message/popup_list,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,获取弹窗站内信列表-todo,前台/站内信/获取弹窗站内信列表-todo.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1225,,1
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/system,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,获取系统配置,前台/配置/获取系统配置.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1201,,1
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/v2/index,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/game,首页缓存v2-owen,前台/游戏/首页缓存v2-owen.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1206|1227,,2
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/vip/level/detail,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,会员vip等级详情,前台/VIP/会员vip等级详情.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1197,,1
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/vip/rule,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,VIP配置规则-todo,前台/VIP/VIP配置规则-todo.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1213,,1
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/blindbox/detail,pid|ym,,header:t<-authenticated-session;query:pid|ym<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,unknown/promo,获取盲盒详情 - felix,活动/盲盒/获取盲盒详情 - felix.bru,MISCLASSIFIED,yes,fat-client-network.json action=bonus__page_initialization; records=1211,,1
