method,origin,normalized_path,classification,pages,actions,http_status,business_status,auth_role,actual_side_effect,document_category,document_name,request_count
GET,https://client-fat.filbet2025.com,/member/message/has_unread,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Home|My|Sidebar|Transaction|VIP Center|Withdraw,daily task Go 6|daily task Go 7|daily task Go 8|page initialization|refresh balance,200,true,authenticated client session (t header),none observed,client/member,是否有未读信息-todo,22
GET,https://client-fat.filbet2025.com,/member/message/popup_list,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Login|My|My Free Spins|Rewards|Sidebar|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,client/member,获取弹窗站内信列表-todo,27
GET,https://client-fat.filbet2025.com,/member/system,ACTIVE,Account|Bet History|Bonus|Deposit|Login|My|Register|Transaction|VIP Center|Withdraw,page initialization|password login|primary navigation/action,200,true,authenticated client session (t header),none observed,client/member,获取系统配置,12
GET,https://client-fat.filbet2025.com,/member/v2/index,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Home (guest)|Login|My|My Free Spins|Register|Rewards|Sidebar|Sidebar (guest)|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,client/game,首页缓存v2-owen,69
GET,https://client-fat.filbet2025.com,/member/vip/level/detail,ACTIVE,Account|Bet History|Bonus|Deposit|My|Sidebar|Transaction|VIP Center|Withdraw,page initialization|primary navigation/action,200,true,authenticated client session (t header),none observed,client/member,会员vip等级详情,10
GET,https://client-fat.filbet2025.com,/member/vip/rule,ACTIVE,Account|Bet History|Bonus|Deposit|My|Sidebar|Transaction|VIP Center|Withdraw,page initialization|primary navigation/action,200,true,authenticated client session (t header),none observed,client/member,VIP配置规则-todo,10
GET,https://client-fat.filbet2025.com,/promo/blindbox/detail,MISCLASSIFIED,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Login|My|My Free Spins|Rewards|Sidebar|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,unknown/promo,获取盲盒详情 - felix,27
GET,https://client-fat.filbet2025.com,/promo/blindbox/query/bonus,MISCLASSIFIED,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Login|My|My Free Spins|Rewards|Sidebar|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,unknown/promo,查询盲盒待领取记录,27
GET,https://client-fat.filbet2025.com,/promo/blindbox/transaction/bonus,MISCLASSIFIED,Bonus,primary navigation/action,200,true,authenticated client session (t header),none observed,unknown/finance,bonus列表 - felix|公共礼金列表记录|领取记录|领取记录列表,1
GET,https://client-fat.filbet2025.com,/promo/bonus/total,MISCLASSIFIED,My Free Spins|Rewards,page initialization,200,true,authenticated client session (t header),none observed,unknown/promo,获取礼金总计,2
GET,https://client-fat.filbet2025.com,/promo/deposit/ladder/deposit/conf,MISCLASSIFIED,Account|Bet History|Bonus|Deposit|Earn Filcoins|Home|My|Sidebar|Transaction|VIP Center|Withdraw,daily task Go 6|daily task Go 7|daily task Go 8|page initialization|refresh balance,200,true,authenticated client session (t header),none observed,unknown/finance,存款阶梯配置活动,15
GET,https://client-fat.filbet2025.com,/promo/deposit/ladder/detail,MISCLASSIFIED,My Free Spins|Rewards,page initialization,200,true,authenticated client session (t header),none observed,unknown/finance,存款阶梯活动详情,2
GET,https://client-fat.filbet2025.com,/promo/filpcard/detail,MISCLASSIFIED,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Login|My|My Free Spins|Rewards|Sidebar|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,unknown/promo,活动详情,53
