method,path,document_name,document_category,document_source,classification,ui_evidence,reason
GET,/member/game/listRw,游戏查询语句组合-benjie,client/game,前台/游戏/游戏查询语句组合-benjie.bru,ACTIVE,fat-client-network.json action=earn_filcoins__daily_task_go_1; records=528|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=566|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=604|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=642|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=680|fat-client-network.json action=game__open_providers; records=957|fat-client-network.json action=game__open_sort_by; records=955|fat-client-network.json action=game__page_initialization; records=923|fat-client-network.json action=game__select_arcade_tab; records=952|fat-client-network.json action=game__select_live_tab; records=950|fat-client-network.json action=game__select_lottery_tab; records=954|fat-client-network.json action=game__select_table_tab; records=951|fat-client-network.json action=game__sort_newest; records=956,observed in FAT UI Network
GET,/member/game/rpt,回报率排名 (Highest RTP),client/game,前台/首页/回报率排名 (Highest RTP).bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/goods/detail,商品详情 - felix,client/member,前台/商城/商品详情 - felix.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/goods/list,商品列表 - felix,client/member,前台/商城/商品列表 - felix.bru,ACTIVE,fat-client-network.json action=filcoins_mall__primary_navigation_action; records=912,observed in FAT UI Network
GET,/member/google_link,google oauth链接-ducky,client/member,前台/会员信息/google oauth链接-ducky.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/home/sections,首页板块列表,client/member,前台/首页/首页板块列表.bru,ACTIVE,fat-client-network.json action=earn_filcoins__daily_task_go_6; records=722|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=772|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=822|fat-client-network.json action=home__page_initialization; records=143|fat-client-network.json action=home__refresh_balance; records=205|fat-client-network.json action=home_guest__page_initialization; records=8|fat-client-network.json action=login__page_initialization; records=53|fat-client-network.json action=login_success__password_login; records=103|fat-client-network.json action=register__page_initialization; records=76|fat-client-network.json action=sidebar__page_initialization; records=252|fat-client-network.json action=sidebar_guest__page_initialization; records=24,observed in FAT UI Network
GET,/member/index,首页缓存,client/game,前台/游戏/首页缓存.bru,ACTIVE,fat-client-network.json action=account__page_initialization; records=1239|fat-client-network.json action=bet_history__page_initialization; records=1166|fat-client-network.json action=bonus__page_initialization; records=1207|fat-client-network.json action=deposit__page_initialization; records=1016|fat-client-network.json action=earn_filcoins__daily_task_go_1; records=502|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=540|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=578|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=616|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=654|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=695|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=736|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=786|fat-client-network.json action=earn_filcoins__daily_task_go_9; records=843|fat-client-network.json action=earn_filcoins__page_initialization; records=471|fat-client-network.json action=filcoins_mall__page_initialization; records=880|fat-client-network.json action=free_spins__page_initialization; records=388|fat-client-network.json action=free_spins__start_first_free_spin_game; records=429|fat-client-network.json action=game__page_initialization; records=919|fat-client-network.json action=home__page_initialization; records=155|fat-client-network.json action=home__refresh_balance; records=191|fat-client-network.json action=home_guest__page_initialization; records=15|fat-client-network.json action=login__page_initialization; records=60|fat-client-network.json action=login_success__password_login; records=110|fat-client-network.json action=my__page_initialization; records=304|fat-client-network.json action=register__page_initialization; records=85|fat-client-network.json action=rewards__page_initialization; records=346|fat-client-network.json action=sidebar__page_initialization; records=238|fat-client-network.json action=sidebar_guest__page_initialization; records=31|fat-client-network.json action=transaction__page_initialization; records=1119|fat-client-network.json action=vip__page_initialization; records=963|fat-client-network.json action=withdraw__page_initialization; records=1071,observed in FAT UI Network
GET,/member/index/bigwin,big win,client/member,前台/首页/big win.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/introduce/complex,网站介绍,client/member,前台/配置/网站介绍.bru,ACTIVE,fat-client-network.json action=free_spins__page_initialization; records=377|fat-client-network.json action=rewards__page_initialization; records=336,observed in FAT UI Network
GET,/member/introduce/simple,网站介绍(单个),client/member,前台/配置/网站介绍(单个).bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/kyc/detail,获取 kyc 详情 -- double/cold,client/kyc,前台/kyc/获取 kyc 详情 -- double-cold.bru,ACTIVE,fat-client-network.json action=account__primary_navigation_action; records=1276,observed in FAT UI Network
GET,/member/kyc/ekyc/get_results,获取ekyc结果,client/kyc,前台/kyc/获取ekyc结果.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/kyc/ekyc/info,ekyc 配置,client/kyc,前台/kyc/ekyc 配置.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/kyc/ekyc/url,获取ekyc的url,client/kyc,前台/kyc/获取ekyc的url.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/logout,退出登陆-seven,client/auth,前台/会员登陆注册验证/退出登陆-seven.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/marquee/list,跑马灯列表,client/member,前台/跑马灯/跑马灯列表.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/materials/list,素材列表,client/member,前台/素材/素材列表.bru,ACTIVE,fat-client-network.json action=account__page_initialization; records=1240|1241|1242|fat-client-network.json action=bet_history__page_initialization; records=1167|1168|1169|fat-client-network.json action=bonus__page_initialization; records=1208|1209|1210|fat-client-network.json action=deposit__page_initialization; records=1017|1018|1019|fat-client-network.json action=earn_filcoins__daily_task_go_1; records=504|505|506|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=541|542|543|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=579|580|581|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=617|618|619|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=655|656|657|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=696|697|698|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=737|738|739|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=787|788|789|fat-client-network.json action=earn_filcoins__daily_task_go_9; records=844|845|846|fat-client-network.json action=earn_filcoins__page_initialization; records=472|473|474|fat-client-network.json action=filcoins_mall__page_initialization; records=881|882|883|fat-client-network.json action=free_spins__page_initialization; records=389|390|391|fat-client-network.json action=free_spins__start_first_free_spin_game; records=430|431|432|fat-client-network.json action=game__page_initialization; records=920|921|922|fat-client-network.json action=home__page_initialization; records=156|157|158|159|fat-client-network.json action=home__refresh_balance; records=192|193|194|195|fat-client-network.json action=home_guest__page_initialization; records=16|17|18|fat-client-network.json action=login__page_initialization; records=61|62|63|fat-client-network.json action=login__primary_navigation_action; records=67|fat-client-network.json action=login_success__password_login; records=111|112|113|117|fat-client-network.json action=my__page_initialization; records=305|306|307|fat-client-network.json action=register__page_initialization; records=86|87|88|fat-client-network.json action=register__primary_navigation_action; records=92|fat-client-network.json action=rewards__page_initialization; records=347|348|349|fat-client-network.json action=sidebar__page_initialization; records=239|240|241|242|fat-client-network.json action=sidebar_guest__page_initialization; records=32|33|34|fat-client-network.json action=transaction__page_initialization; records=1120|1121|1122|fat-client-network.json action=vip__page_initialization; records=964|965|966|fat-client-network.json action=withdraw__page_initialization; records=1072|1073|1074,observed in FAT UI Network
GET,/member/message/has_unread,是否有未读信息-todo,client/member,前台/站内信/是否有未读信息-todo.bru,ACTIVE,fat-client-network.json action=account__page_initialization; records=1260|1268|fat-client-network.json action=bet_history__page_initialization; records=1154|1162|fat-client-network.json action=bonus__page_initialization; records=1195|1203|fat-client-network.json action=deposit__page_initialization; records=1028|1036|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=727|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=777|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=827|fat-client-network.json action=home__page_initialization; records=148|fat-client-network.json action=home__refresh_balance; records=210|fat-client-network.json action=my__page_initialization; records=292|300|fat-client-network.json action=sidebar__page_initialization; records=257|fat-client-network.json action=transaction__page_initialization; records=1107|1115|fat-client-network.json action=vip__page_initialization; records=974|982|fat-client-network.json action=withdraw__page_initialization; records=1059|1067,observed in FAT UI Network
GET,/member/message/list,站内信列表-todo,client/member,前台/站内信/站内信列表-todo.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/message/popup_list,获取弹窗站内信列表-todo,client/member,前台/站内信/获取弹窗站内信列表-todo.bru,ACTIVE,fat-client-network.json action=account__page_initialization; records=1253|fat-client-network.json action=bet_history__page_initialization; records=1182|fat-client-network.json action=bonus__page_initialization; records=1225|fat-client-network.json action=deposit__page_initialization; records=1042|fat-client-network.json action=earn_filcoins__daily_task_go_1; records=520|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=558|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=596|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=634|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=672|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=710|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=760|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=807|fat-client-network.json action=earn_filcoins__daily_task_go_9; records=860|fat-client-network.json action=earn_filcoins__page_initialization; records=483|fat-client-network.json action=filcoins_mall__page_initialization; records=904|fat-client-network.json action=free_spins__page_initialization; records=401|fat-client-network.json action=free_spins__start_first_free_spin_game; records=445|fat-client-network.json action=game__page_initialization; records=938|fat-client-network.json action=home__page_initialization; records=172|fat-client-network.json action=home__refresh_balance; records=220|fat-client-network.json action=login_success__password_login; records=126|fat-client-network.json action=my__page_initialization; records=323|fat-client-network.json action=rewards__page_initialization; records=362|fat-client-network.json action=sidebar__page_initialization; records=266|fat-client-network.json action=transaction__page_initialization; records=1138|fat-client-network.json action=vip__page_initialization; records=990|fat-client-network.json action=withdraw__page_initialization; records=1090,observed in FAT UI Network
GET,/member/order/detail,订单详情 - felix,client/member,前台/商城/订单详情 - felix.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
